番号	分野	問題	URL
79	累積和	AtCoder Beginner Contest 106 D - AtCoder Express 2	https://atcoder.jp/contests/abc106/tasks/abc106_d
80	累積和	GigaCode 2019 D - 家の建設	https://atcoder.jp/contests/gigacode-2019/tasks/gigacode_2019_d
81	累積和	AtCoder Beginner Contest 014 C - AtColor	https://atcoder.jp/contests/abc014/tasks/abc014_3
82	累積和	AOJ 2013 - 大崎	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=2013
83	累積和	JOI 2015 本選 1 - 鉄道運賃	https://atcoder.jp/contests/joi2015ho/tasks/joi2015ho_a
84	累積和	JOI 2012 本選 4 - 釘	https://atcoder.jp/contests/joi2012ho/tasks/joi2012ho4
85	Union-Find	DSL_1_A - 互いに素な集合	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=DSL_1_A&lang=ja
86	Union-Find	AtCoder Beginner Contest 075 C - Bridge	https://atcoder.jp/contests/abc075/tasks/abc075_c?lang=ja
87	Union-Find	AtCoder Beginner Contest 120 D - Decayed Bridge	https://atcoder.jp/contests/abc120/tasks/abc120_d
88	その他のテクニック	JOI 2008 本選 1 - 碁石ならべ	https://atcoder.jp/contests/joi2008ho/tasks/joi2008ho_a
89	その他のテクニック	JOI 2013 本選 1 - 電飾	https://atcoder.jp/contests/joi2013ho/tasks/joi2013ho1
90	その他のテクニック	Square869120Contest #5 B - Emblem	https://atcoder.jp/contests/s8pc-5/tasks/s8pc_5_b
91	その他のテクニック	AtCoder Beginner Contest 144 D - Water Bottle	https://atcoder.jp/contests/abc144/tasks/abc144_d
92	実装問題	AOJ 1193 - 連鎖消滅パズル	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1193&lang=jp
93	実装問題	Square869120Contest #3 B - 石落としゲーム	https://atcoder.jp/contests/s8pc-3/tasks/s8pc_3_b
94	実装問題	AOJ 1149 - ケーキカット	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1149&lang=jp
95	数学的な問題	AtCoder Beginner Contest 149 B - Greedy Takahashi	https://atcoder.jp/contests/abc149/tasks/abc149_b
96	数学的な問題	AtCoder Beginner Contest 139 D - ModSum	https://atcoder.jp/contests/abc139/tasks/abc139_d
97	数学的な問題	AtCoder Beginner Contest 150 D - Semi Common Multiple	https://atcoder.jp/contests/abc150/tasks/abc150_d
98	数学的な問題	三井住友信託銀行プログラミングコンテスト2019 予選 E - Colorful Hats 2	https://atcoder.jp/contests/sumitrust2019/tasks/sumitb2019_e
99	数学的な問題	DDCC2020 予選 D - Digit Sum Replace	https://atcoder.jp/contests/ddcc2020-qual/tasks/ddcc2020_qual_d
100	数学的な問題	Tenka1 Programmer Beginner Contest D - Crossing	https://atcoder.jp/contests/tenka1-2018-beginner/tasks/tenka1_2018_d
